P_1000all,P_100all,P_10all,P_20all,Rprecall,bprefall,errall,map_cut_1000all,map_cut_100all,map_cut_10all,map_cut_20all,ndcg_cut_1000all,ndcg_cut_100all,ndcg_cut_10all,ndcg_cut_20all,rdp_5all,rdp_8all,rdp_95all,recall_1000all,recall_100all,recall_10all,recall_20all,recip_rankall
0.0349,0.18,0.368,0.33,0.1903,0.2314,0.11497,0.1181,0.0962,0.0361,0.0536,0.2954,0.2319,0.2381,0.2387,0.3967,0.3629,0.2888,0.4,0.2082,0.0529,0.0892,0.5677
0.0464,0.1908,0.336,0.32,0.2112,0.3018,0.11445,0.1497,0.112,0.0437,0.0622,0.3725,0.2596,0.2379,0.2476,0.339,0.3354,0.2776,0.5534,0.2509,0.0648,0.1001,0.4545
0.0463,0.1946,0.36,0.339,0.2179,0.2993,0.13117,0.1492,0.1117,0.0429,0.0628,0.3798,0.2698,0.2546,0.2689,0.3717,0.3604,0.2893,0.5506,0.2543,0.0653,0.1072,0.5275
0.0451,0.1858,0.436,0.38,0.1968,0.324,0.15151,0.1513,0.1164,0.0484,0.0702,0.3767,0.267,0.3076,0.2984,0.4359,0.4235,0.3154,0.522,0.241,0.0665,0.1093,0.5431
0.0353,0.2158,0.43,0.405,0.2197,0.2792,0.14904,0.1426,0.1198,0.038,0.0607,0.3341,0.2911,0.2847,0.2994,0.3974,0.3873,0.3282,0.4147,0.2748,0.061,0.112,0.6113
0.0412,0.1994,0.322,0.288,0.203,0.2412,0.08999,0.1298,0.0999,0.0281,0.0417,0.3261,0.2426,0.197,0.2,0.3011,0.3047,0.2743,0.4841,0.2528,0.0468,0.0755,0.3881
0.0353,0.2004,0.35,0.345,0.188,0.2582,0.10769,0.1228,0.0985,0.0265,0.0446,0.3089,0.2505,0.2175,0.2356,0.3306,0.3223,0.2866,0.4149,0.2476,0.0445,0.084,0.5259
0.0371,0.1632,0.404,0.341,0.1941,0.2479,0.15739,0.135,0.1106,0.0489,0.0701,0.3408,0.2574,0.2946,0.2884,0.4441,0.4062,0.2878,0.4564,0.2344,0.0688,0.1075,0.5793
0.0353,0.1928,0.41,0.358,0.1984,0.2721,0.12848,0.1261,0.1012,0.0348,0.0536,0.3149,0.2546,0.2587,0.2587,0.3965,0.3665,0.2905,0.4145,0.2472,0.0575,0.0958,0.5629
0.0481,0.1606,0.302,0.281,0.1641,0.2342,0.10204,0.1239,0.0839,0.0297,0.0448,0.3566,0.2178,0.2088,0.2143,0.3016,0.302,0.2414,0.5647,0.2176,0.0488,0.0825,0.4359
0.0135,0.1354,0.304,0.275,0.1361,0.1225,0.10156,0.0796,0.0796,0.0299,0.045,0.1804,0.1993,0.2108,0.2123,0.302,0.3027,0.2398,0.1908,0.1908,0.0489,0.0812,0.4344
0.0161,0.161,0.304,0.276,0.1473,0.1368,0.10176,0.086,0.086,0.0299,0.0446,0.1978,0.2187,0.2108,0.2127,0.302,0.3025,0.2407,0.2197,0.2197,0.0489,0.0812,0.434
