1000_P_1000all,1000_bprefall,1000_errall,1000_infAPall,1000_mapall,1000_ndcgall,1000_rbp_95all,100_P_1000all,100_bprefall,100_errall,100_infAPall,100_mapall,100_ndcgall,100_rbp_95all,10_P_1000all,10_bprefall,10_errall,10_infAPall,10_mapall,10_ndcgall,10_rbp_95all,20_P_1000all,20_bprefall,20_errall,20_infAPall,20_mapall,20_ndcgall,20_rbp_95all,30_P_1000all,30_bprefall,30_errall,30_infAPall,30_mapall,30_ndcgall,30_rbp_95all,40_P_1000all,40_bprefall,40_errall,40_infAPall,40_mapall,40_ndcgall,40_rbp_95all,50_P_1000all,50_bprefall,50_errall,50_infAPall,50_mapall,50_ndcgall,50_rbp_95all
0.0506,0.3167,0.20732,0.1801,0.1772,0.3817,0.4456,0.027,0.2048,0.20689,0.1481,0.1456,0.2792,0.4425,0.0056,0.0542,0.19112,0.0417,0.0413,0.1149,0.2175,0.0109,0.0995,0.20203,0.0772,0.0762,0.1701,0.3403,0.0148,0.1281,0.20438,0.0991,0.0976,0.2012,0.3958,0.0174,0.1461,0.2055,0.1122,0.1104,0.2214,0.4176,0.0197,0.1615,0.20614,0.1223,0.1203,0.2372,0.4298
0.0533,0.3288,0.21218,0.187,0.1842,0.3936,0.4533,0.0279,0.2098,0.21167,0.1522,0.1498,0.2866,0.4502,0.0056,0.055,0.19678,0.0405,0.0403,0.1168,0.2208,0.0108,0.0982,0.20704,0.0739,0.0729,0.1684,0.3412,0.0149,0.1273,0.20953,0.0973,0.0959,0.2024,0.3984,0.0179,0.1479,0.21058,0.113,0.1113,0.2275,0.4242,0.0204,0.1647,0.21107,0.1247,0.1228,0.2449,0.4374
0.0242,0.1564,0.16923,0.0719,0.0697,0.2094,0.2699,0.0135,0.1032,0.1687,0.062,0.0601,0.1573,0.2697,0.0036,0.036,0.15473,0.0244,0.0238,0.076,0.1453,0.0066,0.0593,0.16364,0.0384,0.0375,0.1062,0.217,0.0088,0.0746,0.16675,0.0483,0.0471,0.124,0.2506,0.0099,0.0815,0.1676,0.0524,0.0511,0.1335,0.2603,0.0109,0.0877,0.16791,0.0555,0.054,0.1399,0.2651
0.0269,0.1682,0.18115,0.0798,0.0779,0.225,0.2848,0.0148,0.1109,0.18064,0.0681,0.0665,0.1706,0.2844,0.0037,0.0379,0.16592,0.0262,0.0259,0.0809,0.1499,0.0071,0.0627,0.17536,0.042,0.0412,0.1136,0.2318,0.0092,0.0777,0.17865,0.0517,0.0506,0.1312,0.2639,0.0104,0.0847,0.17938,0.0561,0.0549,0.1412,0.2741,0.0114,0.0914,0.17981,0.0595,0.0582,0.1483,0.2792
0.0497,0.2815,0.21013,0.1799,0.1776,0.3656,0.4531,0.028,0.193,0.20964,0.1496,0.1477,0.2723,0.4526,0.0056,0.0536,0.19335,0.0437,0.0435,0.1111,0.2229,0.0104,0.0898,0.20427,0.0717,0.0711,0.1557,0.3399,0.0145,0.1155,0.20694,0.0926,0.0919,0.1858,0.3991,0.0174,0.1348,0.20804,0.108,0.1069,0.206,0.4246,0.02,0.1496,0.2088,0.1193,0.1181,0.2232,0.4383
0.0502,0.2792,0.13043,0.1413,0.1383,0.3314,0.3381,0.0237,0.1622,0.12991,0.0972,0.0953,0.2088,0.3373,0.0037,0.0303,0.10776,0.0186,0.0186,0.0582,0.1445,0.0082,0.0673,0.12296,0.04,0.0395,0.1035,0.2483,0.0113,0.0886,0.12647,0.0537,0.053,0.1267,0.2934,0.0135,0.1037,0.12819,0.0631,0.062,0.1438,0.3131,0.0155,0.1172,0.12889,0.071,0.0698,0.158,0.3243
0.0502,0.3082,0.18165,0.1942,0.19,0.3719,0.4397,0.0284,0.2122,0.18128,0.1586,0.1551,0.2776,0.4389,0.0051,0.0497,0.16327,0.0397,0.0393,0.0995,0.2059,0.0103,0.0953,0.17585,0.0721,0.0709,0.1535,0.3315,0.0143,0.1252,0.179,0.0951,0.0931,0.1858,0.3891,0.0168,0.1439,0.17985,0.1094,0.107,0.2037,0.411,0.0195,0.162,0.1806,0.1228,0.1202,0.2236,0.4252
0.0704,0.3755,0.14599,0.2267,0.2189,0.4598,0.416,0.03,0.2122,0.14555,0.1559,0.1506,0.2789,0.4151,0.0044,0.0414,0.12531,0.0284,0.028,0.0797,0.1752,0.0093,0.0807,0.13857,0.0564,0.0551,0.1284,0.2917,0.0137,0.112,0.14274,0.0812,0.0789,0.1669,0.3556,0.0171,0.1346,0.144,0.0991,0.096,0.1939,0.3854,0.0199,0.1521,0.1448,0.1135,0.1097,0.2157,0.3997
0.0497,0.281,0.20244,0.1762,0.1732,0.362,0.4456,0.028,0.1926,0.20195,0.1459,0.1434,0.2687,0.4451,0.0052,0.0488,0.18504,0.0392,0.0386,0.1037,0.2086,0.0103,0.0871,0.19684,0.0665,0.0654,0.1513,0.3306,0.0145,0.1151,0.19925,0.0889,0.0875,0.1822,0.3916,0.0174,0.1344,0.20036,0.1043,0.1026,0.2024,0.417,0.02,0.1492,0.20111,0.1156,0.1138,0.2196,0.4308
0.0405,0.2438,0.21026,0.131,0.1285,0.3086,0.39,0.0204,0.1581,0.20979,0.1117,0.1094,0.2288,0.3897,0.0051,0.0504,0.19426,0.0386,0.0381,0.107,0.2057,0.0095,0.0865,0.20485,0.065,0.0639,0.1494,0.3126,0.0127,0.1112,0.20754,0.0837,0.0821,0.1754,0.3595,0.0145,0.1226,0.20845,0.0921,0.0903,0.1888,0.3757,0.016,0.1322,0.20902,0.0985,0.0965,0.2007,0.3834
0.0405,0.2354,0.20708,0.1043,0.1026,0.2934,0.3455,0.0178,0.1341,0.20654,0.0851,0.0837,0.2015,0.3451,0.0047,0.0451,0.19177,0.0335,0.0333,0.0998,0.1922,0.0085,0.0743,0.20146,0.0529,0.0523,0.1341,0.2817,0.0111,0.0923,0.20407,0.0654,0.0645,0.1552,0.3202,0.0125,0.1014,0.20499,0.0708,0.0697,0.1661,0.3321,0.0137,0.1098,0.20549,0.0751,0.0739,0.1749,0.3386
0.0405,0.2402,0.2138,0.1231,0.1206,0.3049,0.3837,0.0197,0.1511,0.21332,0.1037,0.1014,0.2212,0.3834,0.0051,0.0481,0.19724,0.0363,0.0358,0.1043,0.2042,0.0094,0.0834,0.20824,0.0616,0.0604,0.1458,0.3087,0.0126,0.1075,0.21114,0.0797,0.078,0.174,0.3566,0.0143,0.1179,0.21223,0.0869,0.085,0.1867,0.3716,0.0154,0.125,0.21254,0.0914,0.0895,0.1941,0.3771
0.0706,0.3906,0.12562,0.2288,0.2224,0.4529,0.3839,0.0292,0.2182,0.12512,0.1495,0.145,0.2665,0.3825,0.0042,0.0374,0.106,0.0254,0.0247,0.0721,0.1654,0.0085,0.0767,0.11754,0.0513,0.0498,0.115,0.2682,0.0125,0.1101,0.12168,0.0737,0.0716,0.1516,0.3265,0.0156,0.1325,0.12333,0.0905,0.0877,0.1768,0.3532,0.018,0.1491,0.12384,0.1024,0.0993,0.1945,0.3655
0.0095,0.0651,0.06697,0.0426,0.0419,0.095,0.1953,0.0078,0.0577,0.06686,0.0414,0.0408,0.0864,0.1952,0.0028,0.0282,0.05702,0.0225,0.0223,0.0481,0.1124,0.005,0.0427,0.06415,0.0317,0.0313,0.0663,0.1658,0.0065,0.0513,0.06594,0.0374,0.0368,0.0762,0.1878,0.007,0.054,0.06626,0.0389,0.0383,0.079,0.1923,0.0073,0.0557,0.06658,0.0398,0.0392,0.0815,0.1941
0.0095,0.0609,0.06339,0.0372,0.0367,0.0917,0.1943,0.008,0.0549,0.06328,0.036,0.0355,0.0825,0.1943,0.0026,0.0225,0.05323,0.0158,0.0158,0.0412,0.106,0.0048,0.0375,0.05997,0.0247,0.0245,0.0602,0.1586,0.0067,0.049,0.06268,0.0316,0.0311,0.0729,0.1872,0.0072,0.0514,0.06299,0.0335,0.033,0.0767,0.1916,0.0075,0.0531,0.06315,0.0347,0.0342,0.0795,0.1934
0.0751,0.3959,0.14045,0.2511,0.2427,0.4812,0.4277,0.0326,0.2267,0.13993,0.1698,0.1641,0.2921,0.4264,0.0044,0.0397,0.12141,0.028,0.0268,0.0774,0.1728,0.0092,0.0785,0.13254,0.0552,0.0532,0.1224,0.2902,0.0141,0.1146,0.13669,0.0826,0.0797,0.1623,0.3589,0.0178,0.1397,0.13846,0.1023,0.0989,0.194,0.391,0.0212,0.1612,0.13895,0.1203,0.1164,0.2171,0.4089
0.0514,0.2841,0.15897,0.1433,0.1397,0.3482,0.4107,0.0233,0.1649,0.1584,0.1133,0.1106,0.2221,0.4097,0.0052,0.0435,0.14097,0.034,0.0331,0.0888,0.209,0.0101,0.0796,0.15263,0.0593,0.058,0.1313,0.3218,0.0136,0.1046,0.15612,0.0779,0.0759,0.1603,0.3735,0.0156,0.1188,0.15696,0.0871,0.0849,0.1744,0.3905,0.0173,0.1301,0.15742,0.0942,0.092,0.1853,0.3995
