P_1000all,P_100all,P_10all,P_20all,Rprecall,bprefall,errall,map_cut_1000all,map_cut_100all,map_cut_10all,map_cut_20all,ndcg_cut_1000all,ndcg_cut_100all,ndcg_cut_10all,ndcg_cut_20all,rdp_5all,rdp_8all,rdp_95all,recall_1000all,recall_100all,recall_10all,recall_20all,recip_rankall
0.0497,0.28,0.504,0.502,0.2468,0.308,0.17402,0.1701,0.1402,0.0344,0.0621,0.3573,0.3121,0.3262,0.3438,0.5189,0.5116,0.4412,0.4328,0.256,0.0499,0.0977,0.6363
0.0428,0.2596,0.566,0.545,0.2402,0.2961,0.17374,0.1633,0.1406,0.0429,0.0731,0.3331,0.3059,0.3515,0.375,0.5355,0.538,0.4448,0.3786,0.2421,0.0601,0.11,0.657
0.0448,0.288,0.514,0.512,0.2465,0.2917,0.17292,0.1668,0.1455,0.0341,0.0622,0.3391,0.321,0.3149,0.3374,0.4865,0.5043,0.4513,0.3887,0.271,0.0484,0.0963,0.6146
0.022,0.2204,0.528,0.531,0.1929,0.1725,0.17188,0.1348,0.1348,0.0364,0.07,0.2341,0.2727,0.32,0.3512,0.5679,0.5443,0.4583,0.2076,0.2076,0.0478,0.1023,0.6611
0.022,0.2204,0.492,0.507,0.1926,0.1705,0.17358,0.1311,0.1311,0.0328,0.0646,0.2319,0.2695,0.3017,0.3333,0.5101,0.5041,0.4446,0.2076,0.2076,0.0439,0.0949,0.6195
0.0322,0.163,0.412,0.375,0.1545,0.2327,0.17238,0.0943,0.075,0.0279,0.0442,0.2707,0.218,0.2807,0.2815,0.4899,0.4353,0.3117,0.3277,0.157,0.0417,0.0739,0.6566
0.0324,0.1744,0.422,0.371,0.1597,0.2327,0.16874,0.0965,0.0782,0.0272,0.0429,0.2708,0.2258,0.2797,0.277,0.4599,0.4289,0.3173,0.3264,0.1686,0.0427,0.0754,0.6235
0.077,0.3432,0.536,0.54,0.3175,0.4546,0.19148,0.2652,0.1875,0.0365,0.0702,0.5229,0.385,0.3389,0.3682,0.5125,0.5315,0.4824,0.7184,0.3514,0.0532,0.1163,0.6329
0.0801,0.3642,0.576,0.56,0.3408,0.4657,0.19532,0.3029,0.2114,0.0504,0.0872,0.5553,0.4173,0.3796,0.4049,0.5733,0.5693,0.503,0.7446,0.3679,0.0653,0.1249,0.7093
0.0705,0.317,0.568,0.551,0.2873,0.442,0.18807,0.2382,0.1726,0.0412,0.0739,0.5003,0.3702,0.3617,0.383,0.5772,0.5708,0.4859,0.678,0.3156,0.0549,0.114,0.7059
0.0533,0.2788,0.58,0.533,0.262,0.3807,0.227,0.1893,0.1549,0.0466,0.0775,0.4042,0.3446,0.4026,0.3984,0.6153,0.5778,0.4573,0.468,0.2667,0.0626,0.1084,0.7425
0.0506,0.2696,0.556,0.545,0.2522,0.3747,0.20203,0.1772,0.1456,0.0413,0.0762,0.3817,0.3246,0.3714,0.3878,0.5737,0.5447,0.4456,0.4502,0.2593,0.0567,0.118,0.7021
0.0533,0.2788,0.564,0.541,0.2589,0.3776,0.20704,0.1842,0.1498,0.0403,0.0729,0.3936,0.3336,0.3725,0.3839,0.5489,0.5471,0.4533,0.468,0.2667,0.058,0.108,0.6691
0.0242,0.1346,0.36,0.328,0.1248,0.1675,0.16364,0.0697,0.0601,0.0238,0.0375,0.2094,0.1796,0.2341,0.2344,0.3983,0.3637,0.2699,0.2425,0.1398,0.0381,0.0708,0.5716
0.0269,0.1476,0.366,0.353,0.1374,0.1831,0.17536,0.0779,0.0665,0.0259,0.0412,0.225,0.1953,0.2457,0.2518,0.4331,0.3898,0.2848,0.2614,0.1571,0.0399,0.0776,0.5934
0.0497,0.28,0.556,0.518,0.24,0.3076,0.20427,0.1776,0.1477,0.0435,0.0711,0.3656,0.3207,0.3624,0.3675,0.5525,0.5484,0.4531,0.4328,0.256,0.0555,0.0951,0.6416
0.0502,0.2366,0.37,0.409,0.2178,0.2792,0.12296,0.1383,0.0953,0.0186,0.0395,0.3314,0.2453,0.2087,0.2503,0.3066,0.3487,0.3381,0.4541,0.2252,0.0321,0.0781,0.4378
0.0502,0.2842,0.512,0.515,0.267,0.3082,0.17585,0.19,0.1551,0.0393,0.0709,0.3719,0.3207,0.327,0.346,0.5107,0.5166,0.4397,0.4541,0.2801,0.0518,0.1092,0.6088
0.0704,0.3002,0.442,0.465,0.2703,0.3755,0.13857,0.2189,0.1506,0.028,0.0551,0.4598,0.3218,0.2682,0.3048,0.3662,0.4214,0.416,0.654,0.3007,0.0434,0.0894,0.4925
0.0497,0.28,0.516,0.513,0.2391,0.3072,0.19684,0.1732,0.1434,0.0386,0.0654,0.362,0.3171,0.3417,0.3594,0.5335,0.5257,0.4456,0.4328,0.256,0.05,0.0929,0.6324
