1000_P_1000all,1000_bprefall,1000_errall,1000_infAPall,1000_mapall,1000_ndcgall,1000_rbp_95all,100_P_1000all,100_bprefall,100_errall,100_infAPall,100_mapall,100_ndcgall,100_rbp_95all,10_P_1000all,10_bprefall,10_errall,10_infAPall,10_mapall,10_ndcgall,10_rbp_95all,20_P_1000all,20_bprefall,20_errall,20_infAPall,20_mapall,20_ndcgall,20_rbp_95all,30_P_1000all,30_bprefall,30_errall,30_infAPall,30_mapall,30_ndcgall,30_rbp_95all,40_P_1000all,40_bprefall,40_errall,40_infAPall,40_mapall,40_ndcgall,40_rbp_95all,50_P_1000all,50_bprefall,50_errall,50_infAPall,50_mapall,50_ndcgall,50_rbp_95all
0.0305,0.1801,0.09012,0.0713,0.0709,0.2247,0.2004,0.0121,0.0983,0.08909,0.0536,0.0533,0.1305,0.2,0.0027,0.0286,0.07976,0.0211,0.021,0.0558,0.1091,0.0049,0.0453,0.08479,0.0324,0.0322,0.0751,0.1624,0.0062,0.0559,0.0865,0.0376,0.0374,0.0854,0.181,0.0072,0.0634,0.08752,0.0409,0.0407,0.095,0.1896,0.0081,0.0696,0.08794,0.0437,0.0435,0.1016,0.194
0.0317,0.1874,0.0799,0.0853,0.0849,0.2395,0.2275,0.0141,0.1141,0.079,0.0666,0.0664,0.1484,0.2272,0.0029,0.0319,0.06667,0.0207,0.0207,0.0547,0.1108,0.0056,0.0545,0.07435,0.0357,0.0355,0.0816,0.1767,0.0071,0.0673,0.07632,0.0431,0.043,0.0962,0.1996,0.0086,0.077,0.07728,0.0494,0.0492,0.1093,0.2127,0.0101,0.0883,0.07804,0.0547,0.0545,0.1218,0.2206
0.0298,0.2282,0.15798,0.1069,0.1059,0.2999,0.2744,0.0148,0.1468,0.15729,0.0892,0.0884,0.2155,0.274,0.0038,0.0552,0.14445,0.0386,0.0384,0.108,0.1555,0.0066,0.085,0.15215,0.0577,0.0573,0.1431,0.2215,0.0085,0.1011,0.15465,0.0672,0.0667,0.1619,0.2486,0.0099,0.1128,0.1556,0.0731,0.0725,0.1742,0.2614,0.0112,0.1237,0.15628,0.0783,0.0776,0.1864,0.2681
0.0228,0.1767,0.12458,0.0674,0.0667,0.2205,0.233,0.0115,0.1115,0.12405,0.0589,0.0581,0.1637,0.2328,0.0036,0.0433,0.11012,0.0296,0.0291,0.0809,0.1435,0.006,0.0644,0.11957,0.0418,0.0412,0.111,0.2009,0.007,0.074,0.12128,0.0464,0.0458,0.1233,0.2158,0.008,0.0833,0.12243,0.0499,0.0492,0.1343,0.2241,0.0088,0.0911,0.12315,0.0525,0.0518,0.1425,0.2285
0.03,0.2288,0.15382,0.1082,0.1071,0.3,0.2838,0.0151,0.1494,0.15312,0.091,0.0902,0.2159,0.2835,0.004,0.0573,0.13961,0.0389,0.0386,0.1055,0.1594,0.0069,0.0878,0.14773,0.0583,0.0579,0.1432,0.2306,0.0088,0.1026,0.15057,0.0683,0.0678,0.1632,0.258,0.0103,0.1147,0.15159,0.0751,0.0744,0.1773,0.2714,0.0115,0.1249,0.15227,0.08,0.0793,0.1885,0.2774
0.0153,0.1211,0.12468,0.0591,0.059,0.1634,0.2316,0.0115,0.1006,0.12432,0.0556,0.0555,0.1441,0.2314,0.0034,0.0414,0.11325,0.0295,0.0295,0.0815,0.1394,0.0056,0.0606,0.12032,0.0397,0.0397,0.1032,0.1923,0.0069,0.0712,0.12216,0.0445,0.0444,0.1139,0.2124,0.0082,0.0799,0.12305,0.0481,0.048,0.1223,0.223,0.009,0.085,0.12352,0.0503,0.0502,0.1278,0.2272
0.015,0.1234,0.11681,0.0615,0.0613,0.1642,0.2402,0.0112,0.102,0.11651,0.0584,0.0582,0.146,0.2401,0.0037,0.0458,0.10623,0.033,0.0329,0.0872,0.1491,0.0061,0.066,0.11308,0.0444,0.0442,0.1097,0.2072,0.0073,0.0754,0.11462,0.0492,0.049,0.1197,0.2252,0.0081,0.0817,0.11537,0.0517,0.0515,0.1262,0.2323,0.0089,0.0869,0.11585,0.0536,0.0534,0.1314,0.2362
0.0484,0.2919,0.15346,0.163,0.1619,0.4087,0.2971,0.0182,0.1793,0.15274,0.118,0.1173,0.2542,0.2965,0.004,0.0618,0.13877,0.0462,0.046,0.1137,0.1615,0.007,0.0938,0.14693,0.0689,0.0685,0.1528,0.2352,0.0091,0.1144,0.14955,0.0821,0.0817,0.1769,0.2651,0.0108,0.1295,0.15087,0.091,0.0905,0.1946,0.2803,0.0122,0.1411,0.15143,0.0975,0.0969,0.2069,0.2875
0.0488,0.2847,0.15411,0.1591,0.1581,0.4098,0.2903,0.0183,0.1717,0.15328,0.1122,0.1116,0.2507,0.2897,0.0039,0.0527,0.13918,0.0398,0.0396,0.1065,0.1572,0.0067,0.0837,0.14746,0.0612,0.061,0.1446,0.2258,0.0089,0.1059,0.14996,0.0749,0.0747,0.1691,0.2579,0.0107,0.1212,0.1513,0.0839,0.0836,0.1871,0.2733,0.0121,0.132,0.15189,0.0899,0.0895,0.1991,0.2805
0.0507,0.297,0.16678,0.1756,0.1741,0.4314,0.3098,0.0194,0.1934,0.16607,0.1275,0.1265,0.2726,0.3093,0.0039,0.0612,0.15081,0.0468,0.0465,0.121,0.1608,0.0074,0.0992,0.16042,0.0722,0.0717,0.1665,0.2439,0.0095,0.1214,0.16302,0.0874,0.0868,0.1905,0.2745,0.0115,0.1384,0.1641,0.0975,0.0968,0.2089,0.2913,0.0131,0.1515,0.16487,0.105,0.1043,0.2237,0.2995
0.051,0.2921,0.14757,0.1733,0.1723,0.4229,0.3085,0.0192,0.1853,0.14673,0.1241,0.1235,0.2591,0.3079,0.0041,0.0631,0.1321,0.0456,0.0455,0.1145,0.1661,0.0074,0.0998,0.14151,0.0703,0.0702,0.157,0.2445,0.0094,0.1173,0.1436,0.0836,0.0834,0.1796,0.2727,0.0114,0.1341,0.14499,0.0945,0.0943,0.1994,0.2899,0.013,0.1461,0.1457,0.1021,0.1018,0.2144,0.2984
0.016,0.1186,0.11149,0.056,0.0558,0.1598,0.2201,0.0115,0.0944,0.111,0.0521,0.0519,0.137,0.22,0.0031,0.0367,0.09989,0.0269,0.0269,0.0728,0.1283,0.0053,0.0538,0.10632,0.0366,0.0365,0.0932,0.1793,0.0068,0.0644,0.10852,0.0414,0.0413,0.1041,0.2011,0.0079,0.0728,0.10952,0.0445,0.0444,0.1122,0.2113,0.0088,0.0777,0.11004,0.0468,0.0467,0.1185,0.2157
0.0146,0.1114,0.10824,0.0501,0.0499,0.1496,0.2089,0.0106,0.0887,0.10774,0.0469,0.0467,0.1291,0.2087,0.0028,0.0336,0.09653,0.0241,0.0241,0.0693,0.1176,0.0049,0.0493,0.10279,0.0327,0.0327,0.0877,0.1678,0.0065,0.0618,0.1055,0.0378,0.0377,0.1009,0.1916,0.0076,0.0697,0.10647,0.0407,0.0406,0.1087,0.2014,0.0082,0.0732,0.10679,0.0422,0.0421,0.1127,0.2045
0.0157,0.1169,0.11151,0.0524,0.0521,0.1558,0.2094,0.0106,0.0893,0.11094,0.0483,0.0481,0.1295,0.2093,0.003,0.0359,0.10025,0.0255,0.0255,0.0709,0.1232,0.005,0.0529,0.10658,0.035,0.0349,0.0911,0.1722,0.0065,0.0627,0.10869,0.0394,0.0392,0.1019,0.1928,0.0074,0.0689,0.10964,0.042,0.0418,0.1092,0.2013,0.0081,0.0734,0.11001,0.0438,0.0436,0.1137,0.2048
0.0139,0.1085,0.10144,0.0452,0.0451,0.141,0.1972,0.0096,0.0829,0.10096,0.042,0.0419,0.1198,0.197,0.0029,0.035,0.09026,0.024,0.024,0.0674,0.119,0.005,0.0509,0.09704,0.0319,0.0318,0.0875,0.1681,0.006,0.0587,0.09876,0.0352,0.0351,0.0956,0.1831,0.0068,0.0644,0.09971,0.0372,0.0371,0.1021,0.1902,0.0075,0.0688,0.10007,0.0386,0.0385,0.1059,0.1936
0.0321,0.2549,0.18115,0.1356,0.1352,0.3271,0.3322,0.0184,0.1766,0.18074,0.1172,0.1169,0.2594,0.3318,0.0048,0.0658,0.1666,0.0543,0.0543,0.1383,0.1935,0.0079,0.0965,0.17554,0.0735,0.0734,0.1748,0.2696,0.0102,0.115,0.17818,0.0857,0.0855,0.1976,0.3014,0.0118,0.1287,0.17903,0.0935,0.0932,0.2114,0.3153,0.0133,0.1401,0.17963,0.0999,0.0996,0.222,0.3233
0.0294,0.2172,0.12068,0.1045,0.1043,0.2593,0.2804,0.0158,0.1378,0.12015,0.0884,0.0883,0.1904,0.2801,0.0039,0.0466,0.10731,0.0387,0.0387,0.0868,0.1587,0.0069,0.0705,0.11489,0.0561,0.0561,0.1179,0.23,0.0085,0.0843,0.11735,0.0653,0.0653,0.1357,0.2543,0.0099,0.0948,0.11828,0.0718,0.0718,0.1476,0.2666,0.011,0.103,0.11886,0.0758,0.0757,0.1562,0.2725
0.0349,0.2202,0.12221,0.1191,0.1181,0.2954,0.2888,0.018,0.1542,0.12158,0.097,0.0962,0.2083,0.2883,0.0037,0.0496,0.10624,0.0363,0.0361,0.087,0.1478,0.0066,0.0774,0.11497,0.054,0.0536,0.1208,0.2177,0.009,0.0967,0.11846,0.0666,0.066,0.1459,0.2531,0.011,0.1109,0.11999,0.0753,0.0747,0.1643,0.2706,0.0127,0.1227,0.12064,0.0819,0.0811,0.1764,0.2795
0.0464,0.274,0.1221,0.1509,0.1497,0.3725,0.2776,0.0191,0.1752,0.12134,0.1128,0.112,0.2354,0.277,0.0034,0.0575,0.10521,0.0437,0.0437,0.0975,0.1355,0.0064,0.0859,0.11445,0.0624,0.0622,0.1314,0.2087,0.0085,0.104,0.11752,0.0734,0.0731,0.1534,0.2393,0.0107,0.1212,0.11933,0.0838,0.0834,0.1754,0.2589,0.0123,0.1331,0.12027,0.0901,0.0896,0.1895,0.2669
0.0463,0.2722,0.13794,0.1508,0.1492,0.3798,0.2893,0.0195,0.1773,0.13723,0.1128,0.1117,0.245,0.2887,0.0036,0.0592,0.12034,0.0432,0.0429,0.102,0.1454,0.0068,0.0909,0.13117,0.0633,0.0628,0.1437,0.2217,0.0089,0.1082,0.13383,0.0734,0.0728,0.1641,0.252,0.0111,0.1271,0.13527,0.0844,0.0836,0.1829,0.2712,0.0126,0.1388,0.13614,0.0912,0.0904,0.1979,0.2791
0.0451,0.2876,0.15687,0.1525,0.1513,0.3767,0.3154,0.0186,0.1744,0.15614,0.1172,0.1164,0.2434,0.315,0.0044,0.0622,0.14334,0.0485,0.0484,0.1148,0.1751,0.0076,0.0926,0.15151,0.0705,0.0702,0.1532,0.2511,0.0096,0.1091,0.15355,0.0828,0.0823,0.1748,0.2817,0.0114,0.1227,0.15452,0.091,0.0904,0.1899,0.2973,0.0133,0.1376,0.15517,0.0995,0.0988,0.2061,0.3068
0.0353,0.2462,0.15519,0.1431,0.1426,0.3341,0.3282,0.0216,0.1882,0.15491,0.1202,0.1198,0.2657,0.3264,0.0043,0.0564,0.13723,0.038,0.038,0.1063,0.1215,0.0081,0.0918,0.14904,0.0608,0.0607,0.1533,0.2072,0.0108,0.117,0.15214,0.0773,0.0771,0.1844,0.2683,0.0132,0.1356,0.15351,0.0888,0.0886,0.2057,0.2932,0.0149,0.1477,0.1541,0.0959,0.0956,0.2189,0.3079
0.0412,0.2248,0.09982,0.1306,0.1298,0.3261,0.2743,0.0199,0.153,0.09921,0.1005,0.0999,0.2187,0.2738,0.0032,0.0399,0.08128,0.0281,0.0281,0.0721,0.1261,0.0058,0.0623,0.08999,0.0419,0.0417,0.0979,0.1891,0.0086,0.0865,0.09494,0.0565,0.0562,0.1304,0.2303,0.011,0.1039,0.09651,0.0685,0.0681,0.1511,0.2507,0.013,0.1175,0.09756,0.0768,0.0763,0.168,0.2616
0.0353,0.2251,0.11547,0.1236,0.1228,0.3089,0.2866,0.02,0.1602,0.11496,0.0991,0.0985,0.2264,0.2852,0.0035,0.0404,0.09733,0.0266,0.0265,0.078,0.1012,0.0069,0.0699,0.10769,0.0447,0.0446,0.115,0.1731,0.0095,0.0918,0.11105,0.0585,0.0582,0.1428,0.2281,0.0119,0.1104,0.113,0.0693,0.0689,0.1652,0.2519,0.0138,0.1235,0.11383,0.0773,0.0769,0.1809,0.2676
0.0371,0.2479,0.16346,0.1357,0.135,0.3408,0.2878,0.0163,0.1622,0.16276,0.1111,0.1106,0.2388,0.2874,0.004,0.0615,0.14955,0.0492,0.0489,0.1189,0.163,0.0068,0.0917,0.15739,0.0704,0.0701,0.1557,0.2306,0.0088,0.1114,0.15965,0.0825,0.0822,0.1767,0.2596,0.0104,0.1248,0.16085,0.0916,0.0912,0.1928,0.2737,0.0117,0.1348,0.16162,0.0968,0.0964,0.2048,0.2803
0.0353,0.239,0.13511,0.127,0.1261,0.3149,0.2905,0.0193,0.1697,0.13453,0.102,0.1012,0.2308,0.2886,0.0041,0.0519,0.11954,0.035,0.0348,0.0949,0.13,0.0072,0.0831,0.12848,0.054,0.0536,0.1306,0.1919,0.0089,0.0995,0.13118,0.0632,0.0627,0.1499,0.23,0.0114,0.1196,0.13277,0.0739,0.0734,0.1713,0.2549,0.0132,0.1322,0.13343,0.0817,0.0811,0.1857,0.2693
0.0481,0.2342,0.10865,0.1253,0.1239,0.3566,0.2414,0.0161,0.1365,0.10775,0.0848,0.0839,0.1966,0.241,0.003,0.0435,0.09295,0.0299,0.0297,0.0787,0.122,0.0056,0.0674,0.10204,0.0451,0.0448,0.1095,0.1847,0.0074,0.0824,0.10451,0.0542,0.0537,0.128,0.2106,0.0091,0.0941,0.10583,0.0613,0.0608,0.1425,0.2253,0.0105,0.1031,0.10657,0.0673,0.0667,0.1565,0.2326
0.0135,0.1225,0.10692,0.0804,0.0796,0.1804,0.2398,0.0135,0.1225,0.10692,0.0804,0.0796,0.1804,0.2398,0.003,0.0436,0.09314,0.0301,0.0299,0.0792,0.1227,0.0055,0.0665,0.10156,0.0453,0.045,0.1085,0.1826,0.0075,0.0827,0.10455,0.055,0.0546,0.1291,0.2119,0.009,0.0936,0.10547,0.0618,0.0613,0.1421,0.2244,0.0106,0.1052,0.1062,0.0695,0.0689,0.1581,0.2329
0.0161,0.1368,0.10728,0.0869,0.086,0.1978,0.2407,0.0161,0.1368,0.10728,0.0869,0.086,0.1978,0.2407,0.003,0.0436,0.09312,0.0301,0.0299,0.0792,0.1227,0.0055,0.0664,0.10176,0.0449,0.0446,0.1087,0.1829,0.0075,0.0823,0.10437,0.0547,0.0542,0.1283,0.211,0.009,0.0931,0.10542,0.0611,0.0606,0.1407,0.2241,0.0106,0.1039,0.10619,0.0685,0.0679,0.1573,0.2323
0.0229,0.157,0.1,0.0956,0.095,0.2238,0.2555,0.0157,0.1313,0.09958,0.0844,0.0839,0.1855,0.2552,0.003,0.0412,0.08356,0.0293,0.0293,0.0719,0.1218,0.0058,0.0663,0.0936,0.0449,0.0447,0.1065,0.1894,0.0082,0.0845,0.09638,0.0567,0.0564,0.1278,0.2239,0.01,0.0982,0.09784,0.0647,0.0643,0.1439,0.2399,0.0114,0.1079,0.09861,0.0709,0.0706,0.156,0.2473
0.023,0.1568,0.10098,0.0961,0.0955,0.224,0.256,0.0158,0.1307,0.10055,0.0847,0.0842,0.1845,0.2557,0.003,0.0405,0.08462,0.0293,0.0293,0.0711,0.1217,0.0059,0.0657,0.09461,0.0448,0.0447,0.1056,0.1896,0.0081,0.0835,0.09736,0.0564,0.0561,0.1268,0.2231,0.0101,0.098,0.09894,0.0649,0.0646,0.1434,0.2404,0.0115,0.1078,0.09963,0.0713,0.0709,0.1557,0.248
0.0229,0.1568,0.10231,0.0962,0.0956,0.224,0.2578,0.0159,0.1321,0.10193,0.0849,0.0844,0.1862,0.2575,0.003,0.0402,0.08561,0.0294,0.0294,0.0712,0.1225,0.0059,0.0657,0.09601,0.0453,0.0451,0.1072,0.191,0.0082,0.0842,0.09864,0.0568,0.0565,0.1277,0.2253,0.0101,0.0983,0.10028,0.0653,0.0649,0.1445,0.2416,0.0115,0.108,0.10094,0.0716,0.0711,0.157,0.2493
0.0229,0.1576,0.10306,0.0961,0.0956,0.2253,0.2578,0.016,0.1331,0.10267,0.0851,0.0846,0.1881,0.2575,0.0031,0.0415,0.08713,0.0299,0.0299,0.0737,0.1252,0.0059,0.0671,0.09661,0.0458,0.0456,0.1077,0.192,0.0082,0.0851,0.09937,0.0571,0.0568,0.1292,0.2256,0.01,0.0988,0.101,0.0652,0.0649,0.1453,0.2418,0.0115,0.1088,0.10172,0.0716,0.0712,0.1581,0.2494
0.022,0.1508,0.10094,0.0881,0.0876,0.2158,0.2409,0.0151,0.1248,0.10058,0.0775,0.077,0.179,0.2406,0.0028,0.0359,0.085,0.025,0.0249,0.0673,0.1122,0.0055,0.0618,0.09458,0.0407,0.0406,0.1019,0.1784,0.0076,0.0796,0.09716,0.0516,0.0513,0.1214,0.2097,0.0094,0.0917,0.09872,0.0586,0.0583,0.1357,0.2247,0.011,0.1027,0.09961,0.0648,0.0644,0.1497,0.2331
0.0106,0.0976,0.12646,0.0587,0.0586,0.145,0.2479,0.0099,0.092,0.12636,0.0582,0.0581,0.1416,0.2479,0.004,0.0483,0.11692,0.0349,0.0349,0.0949,0.1608,0.0063,0.0671,0.1237,0.0471,0.0471,0.117,0.2191,0.0073,0.0743,0.12496,0.0509,0.0508,0.1245,0.2335,0.0083,0.0815,0.12575,0.0541,0.054,0.1317,0.242,0.0091,0.0872,0.12614,0.0566,0.0565,0.1369,0.2465
0.0321,0.2282,0.15391,0.1165,0.1164,0.2998,0.2941,0.0171,0.1559,0.15341,0.0975,0.0974,0.2242,0.2937,0.0041,0.0511,0.13948,0.0416,0.0416,0.1087,0.1676,0.0068,0.0774,0.14768,0.0583,0.0583,0.1398,0.2334,0.0089,0.0939,0.15056,0.0681,0.068,0.1623,0.2631,0.0105,0.1076,0.15152,0.0755,0.0754,0.1767,0.2771,0.012,0.1196,0.15236,0.0811,0.0811,0.1897,0.2848
0.0301,0.2143,0.16419,0.1083,0.1072,0.2939,0.2869,0.0168,0.1517,0.16368,0.0917,0.0906,0.2225,0.2866,0.0036,0.0441,0.14866,0.0323,0.0322,0.0968,0.1458,0.0068,0.0777,0.15801,0.0523,0.0518,0.1413,0.2215,0.0093,0.1005,0.16115,0.065,0.0643,0.1654,0.2584,0.0109,0.1131,0.16216,0.0725,0.0717,0.1791,0.2722,0.0122,0.1218,0.16264,0.0773,0.0764,0.1886,0.2789
0.031,0.2242,0.14969,0.1161,0.1157,0.3041,0.3101,0.0168,0.1571,0.1492,0.0987,0.0984,0.2296,0.3097,0.0042,0.0539,0.13385,0.0393,0.0393,0.1064,0.1691,0.0076,0.0867,0.14446,0.0616,0.0615,0.1531,0.2509,0.0098,0.1056,0.14694,0.0728,0.0727,0.1745,0.2831,0.0113,0.1187,0.14773,0.0799,0.0797,0.1868,0.2955,0.0128,0.1294,0.14842,0.0859,0.0857,0.1998,0.3035
0.0294,0.1898,0.10295,0.0815,0.0813,0.241,0.2315,0.014,0.1216,0.10225,0.0646,0.0645,0.1623,0.2311,0.0031,0.0387,0.08827,0.0261,0.0261,0.0688,0.1281,0.0055,0.0605,0.09596,0.0381,0.0381,0.0937,0.1859,0.007,0.0727,0.09851,0.0442,0.0441,0.1089,0.2072,0.0081,0.0823,0.09969,0.0484,0.0484,0.1189,0.2171,0.0093,0.0907,0.10052,0.0522,0.0522,0.1276,0.2233
0.0325,0.2263,0.13722,0.115,0.1147,0.2989,0.2988,0.017,0.1533,0.13683,0.0958,0.0955,0.224,0.2985,0.004,0.0488,0.12052,0.0356,0.0356,0.0971,0.1617,0.0073,0.0822,0.13178,0.0577,0.0576,0.1429,0.2429,0.0092,0.0974,0.13393,0.0674,0.0672,0.1633,0.2696,0.0107,0.1087,0.13506,0.074,0.0737,0.1775,0.2825,0.0121,0.1195,0.13579,0.0796,0.0794,0.1895,0.2901
0.0319,0.2223,0.13444,0.115,0.1147,0.2949,0.2995,0.0175,0.1555,0.13402,0.097,0.0967,0.2241,0.2992,0.0039,0.046,0.11698,0.0346,0.0346,0.0942,0.1576,0.0073,0.0794,0.12844,0.0575,0.0574,0.1425,0.2403,0.0095,0.098,0.13126,0.0681,0.0679,0.1639,0.2717,0.0109,0.1096,0.13217,0.0747,0.0745,0.1761,0.2837,0.0122,0.1194,0.13296,0.0798,0.0796,0.1872,0.2901
0.0009,0.0092,0.00829,0.0014,0.0013,0.009,0.0105,0.0003,0.0034,0.00818,0.0014,0.0013,0.0055,0.0105,0.0002,0.0031,0.00772,0.0013,0.0012,0.0048,0.0098,0.0003,0.0032,0.00786,0.0013,0.0012,0.005,0.0102,0.0003,0.0034,0.00818,0.0014,0.0013,0.0055,0.0105,0.0003,0.0034,0.00818,0.0014,0.0013,0.0055,0.0105,0.0003,0.0034,0.00818,0.0014,0.0013,0.0055,0.0105
0.0468,0.2318,0.09159,0.1273,0.1259,0.3472,0.2357,0.0166,0.1368,0.09076,0.0873,0.0864,0.1914,0.2352,0.003,0.0391,0.07739,0.0271,0.0269,0.0703,0.1183,0.0054,0.0624,0.08503,0.0432,0.0429,0.1003,0.1767,0.0072,0.0769,0.08749,0.0524,0.052,0.1195,0.2029,0.0089,0.0906,0.08872,0.0606,0.0601,0.1356,0.217,0.0107,0.1031,0.0895,0.0683,0.0677,0.1516,0.2261
0.0532,0.3002,0.13503,0.1727,0.1703,0.4306,0.2916,0.0202,0.1841,0.13408,0.1232,0.1216,0.2561,0.291,0.0037,0.0536,0.12093,0.0397,0.0393,0.1024,0.1472,0.0067,0.0868,0.12845,0.0643,0.0636,0.1418,0.221,0.0088,0.1067,0.13096,0.0767,0.0758,0.1648,0.2518,0.0109,0.1247,0.13197,0.0886,0.0875,0.184,0.2701,0.0128,0.139,0.13269,0.0969,0.0956,0.1993,0.2798
0.0499,0.2737,0.11555,0.1532,0.1511,0.3908,0.2709,0.0191,0.1671,0.11468,0.1069,0.1053,0.228,0.2704,0.0033,0.0441,0.10116,0.0311,0.0307,0.0831,0.1305,0.0062,0.0752,0.10897,0.0529,0.0522,0.1197,0.2027,0.0083,0.0942,0.11173,0.0648,0.0639,0.1439,0.2338,0.0101,0.1082,0.11255,0.0733,0.0722,0.1589,0.2492,0.012,0.1232,0.11337,0.0821,0.0809,0.1763,0.2594
