1000_P_1000all,1000_bprefall,1000_errall,1000_infAPall,1000_mapall,1000_ndcgall,1000_rbp_95all,100_P_1000all,100_bprefall,100_errall,100_infAPall,100_mapall,100_ndcgall,100_rbp_95all,10_P_1000all,10_bprefall,10_errall,10_infAPall,10_mapall,10_ndcgall,10_rbp_95all,20_P_1000all,20_bprefall,20_errall,20_infAPall,20_mapall,20_ndcgall,20_rbp_95all,30_P_1000all,30_bprefall,30_errall,30_infAPall,30_mapall,30_ndcgall,30_rbp_95all,40_P_1000all,40_bprefall,40_errall,40_infAPall,40_mapall,40_ndcgall,40_rbp_95all,50_P_1000all,50_bprefall,50_errall,50_infAPall,50_mapall,50_ndcgall,50_rbp_95all
0.045,0.2796,0.14066,0.1379,0.1367,0.366,0.2838,0.0172,0.1594,0.1399,0.1005,0.0996,0.2243,0.2827,0.0039,0.0487,0.12546,0.0344,0.0341,0.096,0.1508,0.0072,0.0826,0.13405,0.0579,0.0573,0.1368,0.2246,0.009,0.1005,0.13657,0.0685,0.0679,0.1567,0.2517,0.0107,0.115,0.1381,0.0768,0.0761,0.1737,0.2665,0.0122,0.1275,0.13883,0.0837,0.0829,0.186,0.2745
0.0079,0.0807,0.10311,0.0469,0.0466,0.1106,0.1869,0.0069,0.0728,0.10294,0.0462,0.0459,0.1049,0.1868,0.0032,0.0442,0.09509,0.0337,0.0335,0.0762,0.1316,0.0051,0.0584,0.10143,0.0419,0.0416,0.0927,0.1753,0.0055,0.0621,0.10198,0.0434,0.0432,0.0963,0.1815,0.0058,0.0645,0.10231,0.0443,0.044,0.0983,0.1841,0.0061,0.067,0.10256,0.0451,0.0448,0.1004,0.1858
0.0224,0.1734,0.11279,0.0809,0.08,0.2235,0.2652,0.0145,0.1295,0.11233,0.0726,0.0718,0.1803,0.265,0.0035,0.0443,0.09586,0.0299,0.0296,0.0804,0.1412,0.0065,0.0724,0.10671,0.0459,0.0454,0.1179,0.2136,0.0084,0.0871,0.10958,0.0543,0.0537,0.1357,0.2414,0.0097,0.0971,0.11079,0.0595,0.0588,0.1483,0.2532,0.0108,0.1054,0.11142,0.0631,0.0624,0.1567,0.2589
0.0217,0.1688,0.12205,0.0816,0.0809,0.2226,0.2676,0.015,0.1324,0.12168,0.0738,0.0733,0.1869,0.2674,0.0034,0.043,0.10557,0.0279,0.0278,0.0834,0.137,0.0066,0.0734,0.11705,0.0449,0.0447,0.1229,0.2138,0.0085,0.0878,0.11917,0.0536,0.0532,0.1395,0.2425,0.01,0.0987,0.1202,0.0592,0.0587,0.152,0.2551,0.0112,0.1073,0.12079,0.0634,0.0629,0.1607,0.2611
0.0445,0.2288,0.09972,0.1143,0.1128,0.3435,0.2354,0.016,0.1339,0.09895,0.0798,0.0788,0.1956,0.235,0.0029,0.0373,0.08191,0.0264,0.0261,0.0688,0.1148,0.0055,0.0652,0.09231,0.0437,0.0432,0.105,0.1799,0.0073,0.0793,0.09498,0.0515,0.0509,0.1225,0.2057,0.0089,0.0907,0.09669,0.0577,0.057,0.1376,0.2195,0.0102,0.1,0.09727,0.0628,0.0621,0.1487,0.2263
0.0431,0.2366,0.10277,0.1228,0.1214,0.3472,0.2406,0.0161,0.1399,0.10203,0.0871,0.0861,0.2066,0.2401,0.0029,0.044,0.08621,0.0304,0.0302,0.0778,0.1192,0.0054,0.0685,0.09569,0.0456,0.0453,0.1113,0.1809,0.0074,0.0852,0.09876,0.0553,0.0547,0.1328,0.2101,0.0089,0.0954,0.09983,0.0612,0.0606,0.1451,0.2227,0.0105,0.1065,0.10047,0.0679,0.0673,0.1586,0.2308
0.0376,0.221,0.10739,0.1021,0.1015,0.313,0.2378,0.014,0.1282,0.10634,0.0769,0.0766,0.1843,0.2373,0.0031,0.0413,0.09325,0.0285,0.0285,0.0789,0.1256,0.0059,0.0679,0.10121,0.0458,0.0457,0.1108,0.1936,0.0074,0.0801,0.10354,0.0539,0.0537,0.1276,0.2154,0.0086,0.0887,0.10453,0.0592,0.059,0.1398,0.2254,0.0095,0.0961,0.105,0.0631,0.0629,0.1482,0.2302
0.0429,0.2365,0.09937,0.1213,0.1199,0.3444,0.2381,0.0158,0.1351,0.0986,0.0848,0.084,0.2022,0.2377,0.003,0.042,0.0833,0.0287,0.0285,0.0756,0.1191,0.0054,0.0653,0.09225,0.0438,0.0435,0.1082,0.1792,0.0074,0.0818,0.09561,0.0535,0.0531,0.1309,0.2082,0.0089,0.0922,0.09665,0.0596,0.0591,0.1429,0.221,0.0104,0.1027,0.09723,0.0665,0.066,0.1567,0.229
0.0444,0.2286,0.10429,0.1205,0.1189,0.3498,0.2469,0.0162,0.1345,0.1035,0.0843,0.0831,0.2016,0.2464,0.003,0.0387,0.08613,0.0291,0.0286,0.0734,0.1217,0.0058,0.0674,0.09731,0.0473,0.0466,0.1115,0.1912,0.0076,0.0813,0.10005,0.0555,0.0548,0.1313,0.2175,0.0093,0.0932,0.10145,0.0619,0.061,0.1453,0.2314,0.0106,0.102,0.10201,0.0671,0.0662,0.1564,0.2381
0.0432,0.2421,0.09983,0.1303,0.1288,0.3543,0.2424,0.0165,0.1481,0.09908,0.0931,0.0921,0.2116,0.2419,0.003,0.0448,0.08317,0.031,0.0308,0.0779,0.1194,0.0055,0.071,0.09267,0.0477,0.0473,0.113,0.1811,0.0075,0.0886,0.0956,0.0577,0.0572,0.1345,0.21,0.0091,0.1008,0.09692,0.065,0.0644,0.1489,0.2239,0.0108,0.1133,0.0976,0.073,0.0723,0.164,0.2325
